RegionCODE,GovCODE,Governorate,TypeOfShelter,TypeOfAccess,Condition,Crowded,HouseholdSize,Household
1,1701,Ajloun,Basement,N/A,N/A,No,1,328
1,1701,Ajloun,Basement,N/A,N/A,No,2,130
1,1701,Ajloun,Basement,N/A,N/A,No,3,104
1,1701,Ajloun,Basement,N/A,N/A,No,4,118
1,1701,Ajloun,Basement,N/A,N/A,No,5,111
1,1701,Ajloun,Basement,N/A,N/A,No,6,53
1,1701,Ajloun,Basement,N/A,N/A,No,7,31
1,1701,Ajloun,Basement,N/A,N/A,No,8,19
1,1701,Ajloun,Basement,N/A,N/A,No,9,8
1,1701,Ajloun,Basement,N/A,N/A,No,10,4
1,1701,Ajloun,Basement,N/A,N/A,Yes,1,1
1,1701,Ajloun,Basement,N/A,N/A,Yes,2,2
1,1701,Ajloun,Basement,Free,Adequate/standard,No,5,1
1,1701,Ajloun,Basement,Free,Inadequate/sub-standard,No,2,1
1,1701,Ajloun,Basement,Other,Inadequate/sub-standard,No,4,1
1,1701,Ajloun,Basement,Rent/Lease,Adequate/standard,No,1,3
1,1701,Ajloun,Basement,Rent/Lease,Adequate/standard,No,2,3
1,1701,Ajloun,Basement,Rent/Lease,Adequate/standard,No,3,2
1,1701,Ajloun,Basement,Rent/Lease,Adequate/standard,No,4,4
1,1701,Ajloun,Basement,Rent/Lease,Adequate/standard,No,5,3
1,1701,Ajloun,Basement,Rent/Lease,Adequate/standard,No,6,2
1,1701,Ajloun,Basement,Rent/Lease,Adequate/standard,No,7,1
1,1701,Ajloun,Basement,Rent/Lease,Adequate/standard,Yes,3,1
1,1701,Ajloun,Basement,Rent/Lease,Emergency,No,1,1
1,1701,Ajloun,Basement,Rent/Lease,Inadequate/sub-standard,No,1,6
1,1701,Ajloun,Basement,Rent/Lease,Inadequate/sub-standard,No,3,2
1,1701,Ajloun,Basement,Rent/Lease,Inadequate/sub-standard,No,4,1
1,1701,Ajloun,Basement,Rent/Lease,Inadequate/sub-standard,No,5,4
1,1701,Ajloun,Basement,Rent/Lease,Inadequate/sub-standard,No,6,3
1,1701,Ajloun,Basement,Rent/Lease,Inadequate/sub-standard,No,7,1
1,1701,Ajloun,Basement,Rent/Lease,Inadequate/sub-standard,No,8,1
1,1701,Ajloun,Basement,Rent/Lease,Inadequate/sub-standard,Yes,7,1
1,1701,Ajloun,Communal Centre,Free,Adequate/standard,No,1,1
1,1701,Ajloun,Communal Centre,Free,Adequate/standard,No,3,1
1,1701,Ajloun,Communal Centre,Rent/Lease,Adequate/standard,No,1,2
1,1701,Ajloun,Communal Centre,Rent/Lease,Adequate/standard,No,2,1
1,1701,Ajloun,Communal Centre,Rent/Lease,Inadequate/sub-standard,No,1,1
1,1701,Ajloun,Communal Centre,Rent/Lease,Inadequate/sub-standard,No,7,1
1,1701,Ajloun,Communal Centre,Rent/Lease,Inadequate/sub-standard,Yes,9,1
1,1701,Ajloun,Flat/Apartment,N/A,Adequate/standard,No,1,3
1,1701,Ajloun,Flat/Apartment,N/A,Adequate/standard,No,2,1
1,1701,Ajloun,Flat/Apartment,N/A,Adequate/standard,No,4,1
1,1701,Ajloun,Flat/Apartment,N/A,Adequate/standard,No,5,2
1,1701,Ajloun,Flat/Apartment,N/A,Inadequate/sub-standard,No,1,1
1,1701,Ajloun,Flat/Apartment,N/A,Inadequate/sub-standard,No,3,1
