RegionCODE,GovCODE,Governorate,TypeOfShelter,TypeOfAccess,Condition,Crowded,HouseholdSize,Household
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,1 Ind,3
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,2 Ind,4
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,3 Ind,2
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,4 Ind,4
1,1701,Ajloun,Basement,Free,2-Adequate/standard,No,5 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,5 Ind,3
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,6 Ind,2
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,7 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,1 Ind,6
1,1701,Ajloun,Basement,Free,3-Inadequate/sub-standard,No,2 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,3 Ind,3
1,1701,Ajloun,Basement,Other,3-Inadequate/sub-standard,No,4 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,4 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,5 Ind,4
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,6 Ind,2
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,7 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,8 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,4-Emergency,No,1 Ind,1
1,1701,Ajloun,Basement,N\A,5. N\A,No,1 Ind,12
1,1701,Ajloun,Basement,N\A,5. N\A,No,2 Ind,6
1,1701,Ajloun,Basement,N\A,5. N\A,No,3 Ind,3
1,1701,Ajloun,Basement,N\A,5. N\A,No,4 Ind,6
1,1701,Ajloun,Basement,N\A,5. N\A,No,5 Ind,6
1,1701,Ajloun,Basement,N\A,5. N\A,No,6 Ind,3
1,1701,Ajloun,Basement,N\A,5. N\A,No,8 Ind,1
1,1701,Ajloun,Basement,N\A,5. N\A,Yes,2 Ind,1
1,1701,Ajloun,Communal Centre,Free,2-Adequate/standard,No,1 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,2-Adequate/standard,No,1 Ind,2
1,1701,Ajloun,Communal Centre,Rent/Lease,2-Adequate/standard,No,2 Ind,1
1,1701,Ajloun,Communal Centre,Free,2-Adequate/standard,No,3 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,2-Adequate/standard,No,6 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,3-Inadequate/sub-standard,No,1 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,3-Inadequate/sub-standard,No,2 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,3-Inadequate/sub-standard,No,3 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,3-Inadequate/sub-standard,No,7 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,3-Inadequate/sub-standard,Yes,9 Ind,1
1,1701,Ajloun,Flat/Apartment,Rent/Lease,1-Above standard,No,3 Ind,1
1,1701,Ajloun,Flat/Apartment,Rent/Lease,1-Above standard,No,5 Ind,1
1,1701,Ajloun,Flat/Apartment,Rent/Lease,1-Above standard,Yes,5 Ind,1
1,1701,Ajloun,Flat/Apartment,Rent/Lease,1-Above standard,Yes,7 Ind,1
1,1701,Ajloun,Flat/Apartment,N\A,2-Adequate/standard,No,1 Ind,3
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,No,1 Ind,17
